"hgy_external_id","hyrox_official_name","final_classification","matched_location_id","matched_location_slug","canonical_facility_url","official_site_status","canonical_name","address","postal_code","prefecture","city","address_verification_status","latitude","longitude","coordinate_confidence","brand_resolution","proposed_brand_id","proposed_brand_name","proposed_brand_slug","proposed_slug","proposed_location_type","match_method","reasons","conflicts","source_authorities","manual_review_required"
"HGY_SuW4zEnJyABlIoQuB6Vhcb55a","J-BOX岡山","NEW_LOCATION_NEEDS_REVIEW","","","","missing","J-BOX岡山","7000953, Minami-ku, Nishiiti,623-6,Kurozumibuilding,1F","7000953","岡山県","岡山市北区","postal_authority_resolved","34.6216168","133.9082387","medium","INDEPENDENT_FACILITY","","J-BOX岡山","j-box","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder | postal address lookup","true"
"HGY_90X3Qce65u8nhankG8yTJUVfT","jirogym fitness studio","NEW_LOCATION_NEEDS_REVIEW","","","","missing","jirogym fitness studio","1410031, 品川区, 西五反田7-22-17 TOC building B1F","1410031","","品川区","source_only","35.6219252","139.7190626","medium","INDEPENDENT_FACILITY","","jirogym fitness studio","jirogym-fitness-studio","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder","true"
"HGY_GpxyO4qXkplkOv85yJTN590Q3","K.K. CrossFitness","NEW_LOCATION_NEEDS_REVIEW","","","","missing","K.K. CrossFitness","106-0032, Tokyo-to, Tokyo, East Roppongi Bldg. 501, Roppongi 3-16-35 MInato-ku","106-0032","東京都","Tokyo","source_only","35.6626506","139.7367049","medium","INDEPENDENT_FACILITY","","K.K. CrossFitness","k-k-crossfitness","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder","true"
"HGY_L3VAddWv1SmZCR2GoXzjkXvDi","KAMAKURA TRAINING GARAGE","NEW_LOCATION_NEEDS_REVIEW","","","","missing","KAMAKURA TRAINING GARAGE","247-0056, Kamakura, 3F, Kanno Building, 1-3-12 Ofuna, Kamakura-shi,","247-0056","","Kamakura","source_only","35.3498287","139.530734","medium","INDEPENDENT_FACILITY","","KAMAKURA TRAINING GARAGE","kamakura-training-garage","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder","true"
"HGY_zCI5QN1QMpQrhFiHusfxjG91Z","KJ PERFORMANCE GYM","NEW_LOCATION_NEEDS_REVIEW","","","https://www.kjperformancegym.com/","verified","KJ PERFORMANCE GYM","1420062, Shinagawa, Koyama 2-12-19","1420062","","Shinagawa","source_only","35.6212787","139.7102726","high","INDEPENDENT_FACILITY","","KJ PERFORMANCE GYM","kj-performance-gym","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Postal authority did not resolve prefecture and city","HYROX governing-body Training Finder | facility official website","true"
"HGY_AiNQvbz5TpUUyIPPCXIneECQU","LEAN BODY STORE","NEW_LOCATION_NEEDS_REVIEW","","","https://leanbodystore.my.canva.site/private-gym","noncanonical","LEAN BODY STORE","5203015, ritto-shi, #102 silkroom6 1-12-2 anyouji","5203015","","ritto-shi","source_only","35.0166174","136.0010694","medium","INDEPENDENT_FACILITY","","LEAN BODY STORE","lean-body-store","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Only a social, booking, or hosted landing-page URL is available","HYROX governing-body Training Finder | facility official website","true"
"HGY_BJ47rrRIRrDxsxXY3zuNW9imJ","LIVERIC","NEW_LOCATION_NEEDS_REVIEW","","","","missing","LIVERIC","5410059, Osaka-city, tyuo-ku , bakuroumachi , 4-3-4 3F","5410059","大阪府","Osaka-city","source_only","34.6782352","135.4991792","medium","INDEPENDENT_FACILITY","","LIVERIC","liveric","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder","true"
"HGY_7FDA3W6p88v6evTHGBhfHFrvP","LUAANA CLUB","NEW_LOCATION_NEEDS_REVIEW","","","","missing","LUAANA CLUB","1460082, Ota-ku, 7-10-10 Ikegami","1460082","","Ota-ku","source_only","35.5715997","139.7018007","medium","INDEPENDENT_FACILITY","","LUAANA CLUB","luaana-club","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder","true"
"HGY_wWrNDerG0IQoFDsAo4L7w3io2","MEIJI PARK","NEW_LOCATION_NEEDS_REVIEW","","","https://www.meiji-park.com/","verified","MEIJI PARK","1600013, Tokyo, MEIJI PARK, 5-7 Kasumigaokamachi, Shinjuku City","1600013","東京都","Tokyo","source_only","35.6752068","139.7136655","medium","INDEPENDENT_FACILITY","","MEIJI PARK","meiji-park","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Postal authority did not resolve prefecture and city","HYROX governing-body Training Finder | facility official website","true"
"HGY_cu0qxn1IsExMf7hzxplXEr5ox","MotomachiBay Fitness","NEW_LOCATION_NEEDS_REVIEW","","","https://www.motomachibayfitness.com/","insufficient_identity_evidence","MotomachiBay Fitness","231-0862, Yokohama, 27-5 Yamatecho, Naka-ku","231-0862","","Yokohama","source_only","35.4374645","139.6456476","medium","INDEPENDENT_FACILITY","","MotomachiBay Fitness","motomachibay-fitness","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Official website did not expose enough name/address evidence for deterministic identity","HYROX governing-body Training Finder | facility official website","true"
