"hgy_external_id","hyrox_official_name","name","slug","brand_ref","brand_resolution","postal_code","prefecture","city","address_line","latitude","longitude","official_url","source_url","location_type","last_verified_at","stale_at","collision_status","candidate_hash"
"HGY_9poyQWuldcVuaHADNMHWTPRfQ","CrossFit Machiya","CrossFit Machiya","crossfit-machiya-1160002","brand:crossfit-machiya","NEW_SINGLE_LOCATION_BRAND","1160002","東京都","荒川区","116-0002, Arakawa City, 荒川区荒川6－6－1","35.7427073","139.7801508","https://www.crossfitmachiya.com/","https://hyrox-training-finder.hyrox.com/gym/HGY_9poyQWuldcVuaHADNMHWTPRfQ","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","aad1a2efd034887e887ddd6861defc82774f6d6ee0feefa0c16b541b4da4c78d"
"HGY_A6L66KJGjc8HfLRFmuyJgBMyQ","BEYOND浜松店","BEYOND 浜松店","beyond-4300924","brand:beyond","NEW_CHAIN_BRAND","4300924","静岡県","浜松市中央区","4300924, 静岡県浜松市, 中央区龍禅寺町７４−１ フジビル 101","34.69808080000001","137.7394271","https://beyond-gym.com/gym/gym-hamamatsu/","https://hyrox-training-finder.hyrox.com/gym/HGY_A6L66KJGjc8HfLRFmuyJgBMyQ","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","715a65cd71b9cd2b2549a06291fa0fe09baf39d5ede189ea025cc00875a351a8"
"HGY_AoLBcMl9MBTosyMcyW5KxrTM4","オレンジセオリーフィットネス三鷹","オレンジセオリーフィットネス三鷹","hyrox-training-club-1810013","brand:orangetheory-fitness","NEW_CHAIN_BRAND","1810013","東京都","三鷹市","181-0013, Mitaka, 2nd Ninotaka Bldg. 2F, 3-34-4 Shimorenjaku","35.7004412","139.5608489","https://www.orangetheoryfitness.co.jp/mitaka/","https://hyrox-training-finder.hyrox.com/gym/HGY_AoLBcMl9MBTosyMcyW5KxrTM4","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","39a1c7aa7c1e5e247529d47f2915d36f9cdb83de2d503b9411b1cb904b6d1977"
"HGY_B9sy6uIdHbgwEkUt5vKBAigMH","オレンジセオリーフィットネス下北沢","オレンジセオリーフィットネス下北沢","hyrox-training-club-1550032","brand:orangetheory-fitness","NEW_CHAIN_BRAND","1550032","東京都","世田谷区","155-0032, Setagaya, No.R Shimokitazawa B1F, 5-31-8 Daizawa","35.6586747","139.6675649","https://www.orangetheoryfitness.co.jp/shimokitazawa/","https://hyrox-training-finder.hyrox.com/gym/HGY_B9sy6uIdHbgwEkUt5vKBAigMH","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","36d5ea78e7f9068b5061738a25e4948de3ab5674852a4852984a822f858c5bde"
"HGY_C71sb4HIOLDnsHEpGiA3caMOJ","ELEMENT 池尻大橋店","ELEMENT 池尻大橋店","element-1530042","brand:element","NEW_SINGLE_LOCATION_BRAND","1530042","東京都","目黒区","153-0042, 東京都, 目黒区青葉台３丁目１２−７ モアリッシェル代官山青葉台 B1","35.6514508","139.6911215","https://element-gym.com/","https://hyrox-training-finder.hyrox.com/gym/HGY_C71sb4HIOLDnsHEpGiA3caMOJ","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","627ce863662ca10f4086691c03ff7f712108ef2198135706c3ca221a5647c49c"
"HGY_CKpn4DHneWfrqTUVaA7D5Whop","VAMOS","VAMOS","vamos-1500011","brand:vamos","NEW_SINGLE_LOCATION_BRAND","1500011","東京都","渋谷区","1500011, 3-20-2 KIビル, Tokyo Shibuya-ku Higashi","35.65026200000001","139.7089814","https://vamos-training.com/ja","https://hyrox-training-finder.hyrox.com/gym/HGY_CKpn4DHneWfrqTUVaA7D5Whop","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","6c0621fb2f413303e32934939e3b275008c1acca9761f284fcfd9b4c757d2a85"
"HGY_Ct7U9fHhZ9namSPnoClvfxBCd","BEYOND山形店","BEYOND 山形店","beyond-9900054","brand:beyond","NEW_CHAIN_BRAND","9900054","山形県","山形市","9900054, 山形市, 六日町６－４０　スペースYOU１F","38.2596403","140.3438732","https://beyond-gym.com/gym/gym-yamagata/","https://hyrox-training-finder.hyrox.com/gym/HGY_Ct7U9fHhZ9namSPnoClvfxBCd","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","e0a7b8a76ae4f331879c0bc8f0c8ff77158c0207bb6957a79765dbee760f3d89"
"HGY_DnvhbwSSMXQWN6DL1AdCp966G","Gold’s Gym Kashihara Nara","ゴールドジム 橿原奈良","hyrox-training-club-6340008","brand:golds-gym","EXISTING_BRAND_REUSE","6340008","奈良県","橿原市","6340008, Toichicho, Kashihara-shi, 2F Twin Gate Kashihara,1222-1","34.5292832","135.7965551","https://www.goldsgym.jp/shop/kashihara-nara/","https://hyrox-training-finder.hyrox.com/gym/HGY_DnvhbwSSMXQWN6DL1AdCp966G","fitness_club","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","16c74e5ac1d9912d3a201edcf8c7056811b388c988eaaf1254bd8cd3cb5ec8cc"
"HGY_DWTQ6FfFIG3fDJP1helxDpfmL","F45 Training Hamamatsucho","F45 Training Hamamatsucho","f45-training-hamamatsucho","brand:f45-training","NEW_SINGLE_LOCATION_BRAND","1050013","東京都","港区","105-0013, Tokyo, Tokyo, Hamamatsucho 2-2-15 2F Minato-ku","35.6552284","139.7548466","https://f45training.com/jp/studio/hamamatsucho/","https://hyrox-training-finder.hyrox.com/gym/HGY_DWTQ6FfFIG3fDJP1helxDpfmL","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","9663ca0e6d4412620ed02597379c2f6c148348d2eb03f06d431412e749a03daf"
"HGY_e0rqkrg7L4ataPZD4gGoOL0W9","UFC Gym YOGA","UFC Gym 用賀","ufc-gym-1580096","brand:ufc-gym","NEW_CHAIN_BRAND","1580096","東京都","世田谷区","158-0096, Tokyo, Setagaya Tamagawadai 2-22-20","35.6248625","139.6325772","https://yoga.ufcgym.co.jp/","https://hyrox-training-finder.hyrox.com/gym/HGY_e0rqkrg7L4ataPZD4gGoOL0W9","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","f89027e9c3b5044b81c5a72edeaa8467acd2d03b2c0d6750d5343ff2443ade1c"
